2024-02-02 23:54:37,070 INFO    MainThread:79316 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_setup.py:_flush():76] Configure stats pid to 79316
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_setup.py:_flush():76] Loading settings from /Users/vlados/.config/wandb/settings
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_setup.py:_flush():76] Loading settings from /Users/vlados/Desktop/Projects/ai/projects/pet_projects/imsh/wandb/settings
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_init.py:_log_setup():526] Logging user logs to /Users/vlados/Desktop/Projects/ai/projects/pet_projects/imsh/wandb/run-20240202_235437-7wfewvw0/logs/debug.log
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/vlados/Desktop/Projects/ai/projects/pet_projects/imsh/wandb/run-20240202_235437-7wfewvw0/logs/debug-internal.log
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_init.py:_jupyter_setup():472] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x297ab77c0>
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_init.py:init():566] calling init triggers
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'model': {'n_width': 20, 'n_coupling': 32, 'input_width': 1}, 'train': {'lr': 0.001, 'batch_size': 1000, 'epochs': 10, 'device': device(type='cpu')}}
2024-02-02 23:54:37,071 INFO    MainThread:79316 [wandb_init.py:init():591] re-initializing run, found existing run on stack: 6wtqqz07
2024-02-02 23:54:37,072 INFO    MainThread:79316 [wandb_run.py:_finish():1962] finishing run ai-gigachads/imsh/6wtqqz07
2024-02-02 23:54:37,072 INFO    MainThread:79316 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-02-02 23:54:37,073 INFO    MainThread:79316 [wandb_run.py:_restore():2185] restore
2024-02-02 23:54:37,073 INFO    MainThread:79316 [wandb_run.py:_restore():2191] restore done
2024-02-02 23:54:43,105 INFO    MainThread:79316 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-02-02 23:54:43,106 INFO    MainThread:79316 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-02-02 23:54:43,118 INFO    MainThread:79316 [wandb_run.py:_footer_sync_info():3816] logging synced files
2024-02-02 23:54:43,349 INFO    MainThread:79316 [wandb_init.py:init():616] starting backend
2024-02-02 23:54:43,349 INFO    MainThread:79316 [wandb_init.py:init():620] setting up manager
2024-02-02 23:54:43,355 INFO    MainThread:79316 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-02-02 23:54:43,358 INFO    MainThread:79316 [wandb_init.py:init():628] backend started and connected
2024-02-02 23:54:43,363 INFO    MainThread:79316 [wandb_run.py:_label_probe_notebook():1294] probe notebook
2024-02-02 23:54:43,363 INFO    MainThread:79316 [wandb_run.py:_label_probe_notebook():1304] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-02-02 23:54:43,364 INFO    MainThread:79316 [wandb_init.py:init():720] updated telemetry
2024-02-02 23:54:43,365 INFO    MainThread:79316 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-02 23:54:49,939 INFO    MainThread:79316 [wandb_run.py:_on_init():2254] communicating current version
2024-02-02 23:54:50,743 INFO    MainThread:79316 [wandb_run.py:_on_init():2263] got version response 
2024-02-02 23:54:50,744 INFO    MainThread:79316 [wandb_init.py:init():804] starting run threads in backend
2024-02-02 23:54:50,795 INFO    MainThread:79316 [wandb_run.py:_console_start():2233] atexit reg
2024-02-02 23:54:50,795 INFO    MainThread:79316 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-02 23:54:50,795 INFO    MainThread:79316 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-02 23:54:50,795 INFO    MainThread:79316 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-02 23:54:50,796 INFO    MainThread:79316 [wandb_init.py:init():847] run started, returning control to user process
2024-02-02 23:54:53,066 INFO    MainThread:79316 [wandb_run.py:_finish():1962] finishing run ai-gigachads/imsh/7wfewvw0
2024-02-02 23:54:53,066 ERROR   MainThread:79316 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-02-02 23:54:53,066 INFO    MainThread:79316 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-02-02 23:54:53,067 INFO    MainThread:79316 [wandb_init.py:_jupyter_teardown():454] cleaning up jupyter logic
2024-02-02 23:54:53,067 INFO    MainThread:79316 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-02-02 23:54:53,067 INFO    MainThread:79316 [wandb_run.py:_restore():2185] restore
2024-02-02 23:54:53,067 INFO    MainThread:79316 [wandb_run.py:_restore():2191] restore done
2024-02-02 23:54:57,245 INFO    MainThread:79316 [wandb_run.py:_footer_sync_info():3816] logging synced files
