iter	Logloss
0	0.6519102702
1	0.5907773361
2	0.5557696298
3	0.5278885068
4	0.5069466756
5	0.4775235374
6	0.4550677689
7	0.4409491305
8	0.431952085
9	0.4189992353
10	0.4126784882
11	0.4074085399
12	0.4022702488
13	0.3928219029
14	0.3873384724
15	0.3790406216
16	0.3750228229
17	0.3666776617
18	0.3612526706
19	0.3571797636
20	0.3528394634
21	0.349918414
22	0.3459429127
23	0.3403186556
24	0.33927467
25	0.3375214086
26	0.3360363616
27	0.334116884
28	0.3318351084
29	0.3282462983
30	0.3271691496
31	0.3249535625
32	0.3233755475
33	0.3227437851
34	0.3194600003
35	0.3177880611
36	0.3170439657
37	0.3157090835
38	0.3147245093
39	0.3139038407
40	0.3126760366
41	0.3116521404
42	0.3105847505
43	0.3060584395
44	0.3043587338
45	0.3034417856
46	0.3020281032
47	0.301354095
48	0.300915178
49	0.2998216881
50	0.2987420818
51	0.2978399962
52	0.2973690252
53	0.2961289842
54	0.293382768
55	0.2924615928
56	0.2921078731
57	0.2909611874
58	0.2907417302
59	0.2893226268
60	0.2889156153
61	0.2873053601
62	0.2830563962
63	0.282810243
64	0.2818365566
65	0.2811495893
66	0.2796805062
67	0.2793493064
68	0.2783816341
69	0.2778233152
70	0.277398952
71	0.2773938432
72	0.2763905341
73	0.274966007
74	0.2739186469
75	0.272033397
76	0.271829886
77	0.2713890734
78	0.2692840519
79	0.2669042896
80	0.2662198985
81	0.263214773
82	0.2627817544
83	0.2624830914
84	0.262059686
85	0.2620200826
86	0.2613324215
87	0.260908936
88	0.2604050526
89	0.2598371516
