iter	Passed	Remaining
0	62	5539
1	65	2887
2	67	1970
3	70	1512
4	72	1237
5	75	1051
6	77	924
7	80	823
8	81	734
9	83	668
10	84	605
11	86	561
12	88	524
13	90	493
14	93	468
15	95	442
16	97	420
17	100	400
18	102	382
19	104	365
20	107	351
21	109	339
22	112	327
23	114	315
24	116	302
25	118	291
26	119	278
27	121	270
28	124	261
29	126	253
30	128	245
31	131	237
32	133	230
33	135	223
34	138	216
35	140	210
36	143	205
37	145	198
38	147	192
39	149	187
40	151	181
41	154	176
42	156	171
43	158	165
44	160	160
45	164	156
46	166	152
47	168	147
48	170	142
49	172	138
50	175	133
51	177	129
52	179	125
53	181	121
54	184	117
55	186	113
56	188	109
57	190	105
58	192	100
59	194	97
60	196	93
61	198	89
62	200	86
63	203	82
64	205	78
65	207	75
66	210	72
67	211	68
68	213	64
69	216	61
70	218	58
71	219	54
72	221	51
73	223	48
74	226	45
75	228	42
76	230	38
77	232	35
78	235	32
79	237	29
80	240	26
81	242	23
82	245	20
83	247	17
84	250	14
85	250	11
86	253	8
87	255	5
88	257	2
89	259	0
